  Session log : spot_check_logs\log3.txt  (started 2026-06-01 13:43:47)

  Trading Pipeline — PAPER (mock data, no real orders)
  Watching    : AAPL, TSLA, NVDA, MSTR, COIN
  Trigger     : price > rolling_mean + 2.0 * std_dev
  AI gate     : confidence > 0.85
  Order cap   : 10% of balance (fractional shares)
  [RAW TICK] 13:44:03  TSLA    bid=$250.04
  [RAW TICK] 13:44:03  NVDA    bid=$875.65
  [RAW TICK] 13:44:03  NVDA    bid=$875.8
  [RAW TICK] 13:44:04  COIN    bid=$100.65
  [RAW TICK] 13:44:04  TSLA    bid=$249.79
  [RAW TICK] 13:44:04  AAPL    bid=$197.28
  [RAW TICK] 13:44:04  AAPL    bid=$197.11
  [RAW TICK] 13:44:04  NVDA    bid=$875.61
  [RAW TICK] 13:44:04  AAPL    bid=$196.93
  [RAW TICK] 13:44:04  COIN    bid=$100.41
  [RAW TICK] 13:44:04  MSTR    bid=$100.16
  [RAW TICK] 13:44:04  COIN    bid=$100.67
  [RAW TICK] 13:44:04  TSLA    bid=$249.91
  [RAW TICK] 13:44:04  MSTR    bid=$100.17
  [RAW TICK] 13:44:04  COIN    bid=$100.68
  [RAW TICK] 13:44:04  TSLA    bid=$249.79
  [RAW TICK] 13:44:04  MSTR    bid=$100.13
  [RAW TICK] 13:44:04  MSTR    bid=$100.18
  [RAW TICK] 13:44:04  AAPL    bid=$196.78
  [RAW TICK] 13:44:04  MSTR    bid=$100.07
  [RAW TICK] 13:44:04  COIN    bid=$100.59
  [RAW TICK] 13:44:04  COIN    bid=$100.6
  [RAW TICK] 13:44:04  AAPL    bid=$196.68
  [RAW TICK] 13:44:04  COIN    bid=$100.65
  [RAW TICK] 13:44:04  COIN    bid=$100.5
  [RAW TICK] 13:44:04  TSLA    bid=$249.69
  [RAW TICK] 13:44:04  COIN    bid=$100.68
  [RAW TICK] 13:44:05  MSTR    bid=$99.89
  [RAW TICK] 13:44:05  TSLA    bid=$249.69
  [RAW TICK] 13:44:05  COIN    bid=$100.57
  [RAW TICK] 13:44:05  COIN    bid=$100.52
  [RAW TICK] 13:44:05  NVDA    bid=$875.58
  [RAW TICK] 13:44:05  MSTR    bid=$100.24
  [RAW TICK] 13:44:05  TSLA    bid=$249.95
  [RAW TICK] 13:44:05  COIN    bid=$100.64
  [RAW TICK] 13:44:05  COIN    bid=$100.91

  [THRESHOLD TRIP] COIN  bid=$100.91  band=$100.81  (mean=100.49, sigma=0.1592, breach=2.63σ)
  Consulting Gemini 2.5 Flash...
  [AI VERDICT] action=HOLD  confidence=0.80  urgency=NONE  code=LACK_OF_CONFIRMATION
  [SKIPPED] Not enough conviction — staying flat.
  [RAW TICK] 13:44:11  NVDA    bid=$875.49
  [RAW TICK] 13:44:11  TSLA    bid=$249.8
  [RAW TICK] 13:44:11  MSTR    bid=$100.12
  [RAW TICK] 13:44:11  AAPL    bid=$196.43
  [RAW TICK] 13:44:11  COIN    bid=$100.87
  [RAW TICK] 13:44:11  COIN    bid=$100.94
  [RAW TICK] 13:44:11  NVDA    bid=$875.89
  [RAW TICK] 13:44:11  AAPL    bid=$196.2
  [RAW TICK] 13:44:11  NVDA    bid=$875.81
  [RAW TICK] 13:44:11  AAPL    bid=$196.15
  [RAW TICK] 13:44:11  TSLA    bid=$250.08
  [RAW TICK] 13:44:11  NVDA    bid=$875.72
  [RAW TICK] 13:44:12  MSTR    bid=$100.18
  [RAW TICK] 13:44:12  NVDA    bid=$875.76
  [RAW TICK] 13:44:12  NVDA    bid=$875.52
  [RAW TICK] 13:44:12  MSTR    bid=$101.38

  [THRESHOLD TRIP] MSTR  bid=$101.38  band=$100.89  (mean=100.33, sigma=0.2770, breach=3.78σ)
  Consulting Gemini 2.5 Flash...
  [AI VERDICT] action=HOLD  confidence=0.40  urgency=NONE  code=BREAKOUT_NO_VOL_CONFIRM
  [SKIPPED] Not enough conviction — staying flat.
  [RAW TICK] 13:44:17  TSLA    bid=$250.18
  [RAW TICK] 13:44:17  COIN    bid=$100.56
  [RAW TICK] 13:44:17  COIN    bid=$100.31
  [RAW TICK] 13:44:17  AAPL    bid=$196.32
  [RAW TICK] 13:44:17  AAPL    bid=$196.66
  [RAW TICK] 13:44:17  AAPL    bid=$196.71
  [RAW TICK] 13:44:17  COIN    bid=$100.35
  [RAW TICK] 13:44:17  AAPL    bid=$196.8
  [RAW TICK] 13:44:17  TSLA    bid=$250.09
  [RAW TICK] 13:44:17  NVDA    bid=$875.45
  [RAW TICK] 13:44:17  NVDA    bid=$875.67
  [RAW TICK] 13:44:17  AAPL    bid=$196.83
  [RAW TICK] 13:44:17  TSLA    bid=$250.13
  [RAW TICK] 13:44:17  MSTR    bid=$101.29
  [RAW TICK] 13:44:17  AAPL    bid=$196.72
  [RAW TICK] 13:44:17  TSLA    bid=$250.17
  [RAW TICK] 13:44:17  COIN    bid=$100.26
  [RAW TICK] 13:44:17  AAPL    bid=$196.58
  [RAW TICK] 13:44:17  MSTR    bid=$101.47
  [RAW TICK] 13:44:17  NVDA    bid=$875.48
  [RAW TICK] 13:44:17  AAPL    bid=$196.61
  [RAW TICK] 13:44:17  AAPL    bid=$196.46
  [RAW TICK] 13:44:18  AAPL    bid=$196.51
  [RAW TICK] 13:44:18  COIN    bid=$100.25
  [RAW TICK] 13:44:18  COIN    bid=$100.22
  [RAW TICK] 13:44:18  TSLA    bid=$250.06
  [RAW TICK] 13:44:18  NVDA    bid=$875.43
  [RAW TICK] 13:44:18  COIN    bid=$100.39
  [RAW TICK] 13:44:18  NVDA    bid=$875.58
  [RAW TICK] 13:44:18  AAPL    bid=$196.68
  [RAW TICK] 13:44:18  NVDA    bid=$876.02
  [RAW TICK] 13:44:18  NVDA    bid=$876.38

  [THRESHOLD TRIP] NVDA  bid=$876.38  band=$876.19  (mean=875.76, sigma=0.2163, breach=2.86σ)
  Consulting Gemini 2.5 Flash...
  [AI VERDICT] action=HOLD  confidence=0.80  urgency=NONE  code=BREAKOUT_NO_VOL_CONFIRM
  [SKIPPED] Not enough conviction — staying flat.
  [RAW TICK] 13:44:26  AAPL    bid=$196.67
  [RAW TICK] 13:44:26  NVDA    bid=$876.35
  [RAW TICK] 13:44:26  COIN    bid=$100.31
  [RAW TICK] 13:44:26  MSTR    bid=$101.28
  [RAW TICK] 13:44:26  AAPL    bid=$196.31
  [RAW TICK] 13:44:26  TSLA    bid=$249.97
  [RAW TICK] 13:44:26  AAPL    bid=$196.28
  [RAW TICK] 13:44:26  COIN    bid=$100.51
  [RAW TICK] 13:44:26  NVDA    bid=$876.3
  [RAW TICK] 13:44:26  COIN    bid=$100.74
  [RAW TICK] 13:44:26  TSLA    bid=$249.91
  [RAW TICK] 13:44:26  MSTR    bid=$101.3
  [RAW TICK] 13:44:26  COIN    bid=$100.71
  [RAW TICK] 13:44:26  MSTR    bid=$101.22
  [RAW TICK] 13:44:26  MSTR    bid=$101.23
  [RAW TICK] 13:44:26  TSLA    bid=$249.83
  [RAW TICK] 13:44:27  MSTR    bid=$101.19
  [RAW TICK] 13:44:27  NVDA    bid=$876.45
  [RAW TICK] 13:44:27  TSLA    bid=$249.7
  [RAW TICK] 13:44:27  TSLA    bid=$249.65
  [RAW TICK] 13:44:27  MSTR    bid=$101.15
  [RAW TICK] 13:44:27  AAPL    bid=$196.24
  [RAW TICK] 13:44:27  AAPL    bid=$196.13
  [RAW TICK] 13:44:27  NVDA    bid=$876.62
  [RAW TICK] 13:44:27  COIN    bid=$100.78
  [RAW TICK] 13:44:27  NVDA    bid=$876.67
  [RAW TICK] 13:44:27  NVDA    bid=$876.73
  [RAW TICK] 13:44:27  MSTR    bid=$101.25
  [RAW TICK] 13:44:27  MSTR    bid=$100.99
  [RAW TICK] 13:44:27  COIN    bid=$100.85
  [RAW TICK] 13:44:27  TSLA    bid=$249.75
  [RAW TICK] 13:44:27  MSTR    bid=$101.02
  [RAW TICK] 13:44:27  NVDA    bid=$876.89
  [RAW TICK] 13:44:27  COIN    bid=$101.02
  [RAW TICK] 13:44:27  AAPL    bid=$195.94
  [RAW TICK] 13:44:27  NVDA    bid=$876.98
  [RAW TICK] 13:44:27  AAPL    bid=$196.0
  [RAW TICK] 13:44:27  NVDA    bid=$877.18
  [RAW TICK] 13:44:27  TSLA    bid=$249.83
  [RAW TICK] 13:44:27  AAPL    bid=$195.87
  [RAW TICK] 13:44:28  COIN    bid=$100.75
  [RAW TICK] 13:44:28  MSTR    bid=$101.09
  [RAW TICK] 13:44:28  AAPL    bid=$196.14
  [RAW TICK] 13:44:28  AAPL    bid=$196.1
  [RAW TICK] 13:44:28  AAPL    bid=$196.25
  [RAW TICK] 13:44:28  TSLA    bid=$249.58
  [RAW TICK] 13:44:28  MSTR    bid=$102.59
  [RAW TICK] 13:44:28  AAPL    bid=$196.06
  [RAW TICK] 13:44:28  TSLA    bid=$249.79
  [RAW TICK] 13:44:28  COIN    bid=$100.7
  [RAW TICK] 13:44:28  MSTR    bid=$102.61
  [RAW TICK] 13:44:28  TSLA    bid=$249.95
  [RAW TICK] 13:44:28  MSTR    bid=$102.69
  [RAW TICK] 13:44:28  TSLA    bid=$250.0
  [RAW TICK] 13:44:28  NVDA    bid=$877.18
  [RAW TICK] 13:44:28  COIN    bid=$100.83
  [RAW TICK] 13:44:28  NVDA    bid=$877.31
  [RAW TICK] 13:44:28  COIN    bid=$100.88
  [RAW TICK] 13:44:28  AAPL    bid=$195.94
  [RAW TICK] 13:44:28  TSLA    bid=$249.85
  [RAW TICK] 13:44:28  AAPL    bid=$196.27
  [RAW TICK] 13:44:28  MSTR    bid=$102.42
  [RAW TICK] 13:44:28  MSTR    bid=$102.49
  [RAW TICK] 13:44:28  MSTR    bid=$102.5
  [RAW TICK] 13:44:29  MSTR    bid=$102.3
  [RAW TICK] 13:44:29  TSLA    bid=$249.99
  [RAW TICK] 13:44:29  COIN    bid=$100.82
  [RAW TICK] 13:44:29  TSLA    bid=$250.14
  [RAW TICK] 13:44:29  NVDA    bid=$877.42
  [RAW TICK] 13:44:29  AAPL    bid=$196.21
  [RAW TICK] 13:44:29  NVDA    bid=$877.21
  [RAW TICK] 13:44:29  TSLA    bid=$250.08
  [RAW TICK] 13:44:29  NVDA    bid=$877.09
  [RAW TICK] 13:44:29  NVDA    bid=$877.37
  [RAW TICK] 13:44:29  AAPL    bid=$196.14
  [RAW TICK] 13:44:29  MSTR    bid=$102.03
  [RAW TICK] 13:44:29  AAPL    bid=$196.36
  [RAW TICK] 13:44:29  COIN    bid=$100.82
  [RAW TICK] 13:44:29  NVDA    bid=$877.13
  [RAW TICK] 13:44:29  NVDA    bid=$877.18
  [RAW TICK] 13:44:29  MSTR    bid=$102.1
  [RAW TICK] 13:44:29  TSLA    bid=$249.95
  [RAW TICK] 13:44:29  NVDA    bid=$877.45
  [RAW TICK] 13:44:29  TSLA    bid=$249.74
  [RAW TICK] 13:44:29  MSTR    bid=$102.29
  [RAW TICK] 13:44:29  MSTR    bid=$102.34
  [RAW TICK] 13:44:29  MSTR    bid=$102.46
  [RAW TICK] 13:44:29  MSTR    bid=$102.54
  [RAW TICK] 13:44:30  MSTR    bid=$102.64
  [RAW TICK] 13:44:30  NVDA    bid=$877.22
  [RAW TICK] 13:44:30  TSLA    bid=$249.56
  [RAW TICK] 13:44:30  MSTR    bid=$102.65
  [RAW TICK] 13:44:30  NVDA    bid=$877.1
  [RAW TICK] 13:44:30  COIN    bid=$100.89
  [RAW TICK] 13:44:30  AAPL    bid=$196.45
  [RAW TICK] 13:44:30  TSLA    bid=$249.72
  [RAW TICK] 13:44:30  NVDA    bid=$877.18
  [RAW TICK] 13:44:30  COIN    bid=$100.82
  [RAW TICK] 13:44:30  MSTR    bid=$102.89
  [RAW TICK] 13:44:30  AAPL    bid=$196.56
  [RAW TICK] 13:44:30  TSLA    bid=$249.83
  [RAW TICK] 13:44:30  MSTR    bid=$103.01
  [RAW TICK] 13:44:30  AAPL    bid=$196.41
  [RAW TICK] 13:44:30  AAPL    bid=$196.45
  [RAW TICK] 13:44:30  NVDA    bid=$877.13
  [RAW TICK] 13:44:30  MSTR    bid=$102.69
  [RAW TICK] 13:44:30  NVDA    bid=$877.28
  [RAW TICK] 13:44:30  AAPL    bid=$196.71
  [RAW TICK] 13:44:30  TSLA    bid=$249.89
  [RAW TICK] 13:44:30  TSLA    bid=$249.83
  [RAW TICK] 13:44:30  TSLA    bid=$249.65
  [RAW TICK] 13:44:30  MSTR    bid=$102.82
  [RAW TICK] 13:44:30  AAPL    bid=$196.85
  [RAW TICK] 13:44:31  NVDA    bid=$877.2
  [RAW TICK] 13:44:31  MSTR    bid=$102.84
  [RAW TICK] 13:44:31  TSLA    bid=$249.8
  [RAW TICK] 13:44:31  COIN    bid=$101.91
  [RAW TICK] 13:44:31  TSLA    bid=$250.08
  [RAW TICK] 13:44:31  AAPL    bid=$196.71
  [RAW TICK] 13:44:31  AAPL    bid=$196.66
  [RAW TICK] 13:44:31  MSTR    bid=$102.84
  [RAW TICK] 13:44:31  COIN    bid=$101.9
  [RAW TICK] 13:44:31  NVDA    bid=$877.05
  [RAW TICK] 13:44:31  MSTR    bid=$102.82
  [RAW TICK] 13:44:31  NVDA    bid=$877.05
  [RAW TICK] 13:44:31  NVDA    bid=$877.23
  [RAW TICK] 13:44:31  COIN    bid=$101.53
  [RAW TICK] 13:44:31  NVDA    bid=$877.2
  [RAW TICK] 13:44:31  AAPL    bid=$196.51
  [RAW TICK] 13:44:31  NVDA    bid=$877.02
  [RAW TICK] 13:44:31  MSTR    bid=$103.12
  [RAW TICK] 13:44:31  NVDA    bid=$877.09
  [RAW TICK] 13:44:31  AAPL    bid=$196.52
  [RAW TICK] 13:44:31  TSLA    bid=$250.1
  [RAW TICK] 13:44:31  COIN    bid=$101.73
  [RAW TICK] 13:44:31  TSLA    bid=$250.04
  [RAW TICK] 13:44:31  AAPL    bid=$196.43
  [RAW TICK] 13:44:32  COIN    bid=$101.71
  [RAW TICK] 13:44:32  COIN    bid=$101.48
  [RAW TICK] 13:44:32  COIN    bid=$101.49
  [RAW TICK] 13:44:32  AAPL    bid=$196.36
  [RAW TICK] 13:44:32  NVDA    bid=$877.3
  [RAW TICK] 13:44:32  NVDA    bid=$877.38
  [RAW TICK] 13:44:32  NVDA    bid=$877.33
  [RAW TICK] 13:44:32  NVDA    bid=$877.49
  [RAW TICK] 13:44:32  TSLA    bid=$250.24
  [RAW TICK] 13:44:32  COIN    bid=$101.39
  [RAW TICK] 13:44:32  NVDA    bid=$877.53
  [RAW TICK] 13:44:32  TSLA    bid=$250.39
  [RAW TICK] 13:44:32  MSTR    bid=$103.0
  [RAW TICK] 13:44:32  TSLA    bid=$250.17
  [RAW TICK] 13:44:32  AAPL    bid=$196.36
  [RAW TICK] 13:44:32  TSLA    bid=$250.19
  [RAW TICK] 13:44:32  AAPL    bid=$196.06
  [RAW TICK] 13:44:32  NVDA    bid=$877.69
  [RAW TICK] 13:44:32  COIN    bid=$101.25
  [RAW TICK] 13:44:32  MSTR    bid=$102.97
  [RAW TICK] 13:44:32  COIN    bid=$101.24
  [RAW TICK] 13:44:32  COIN    bid=$100.9
  [RAW TICK] 13:44:32  NVDA    bid=$877.82
  [RAW TICK] 13:44:32  COIN    bid=$101.15
  [RAW TICK] 13:44:33  COIN    bid=$101.3
  [RAW TICK] 13:44:33  MSTR    bid=$103.06
  [RAW TICK] 13:44:33  TSLA    bid=$250.23
  [RAW TICK] 13:44:33  NVDA    bid=$877.9
  [RAW TICK] 13:44:33  AAPL    bid=$196.17
  [RAW TICK] 13:44:33  TSLA    bid=$250.32
  [RAW TICK] 13:44:33  MSTR    bid=$103.14
  [RAW TICK] 13:44:33  NVDA    bid=$877.86
  [RAW TICK] 13:44:33  NVDA    bid=$877.73
  [RAW TICK] 13:44:33  COIN    bid=$101.37
  [RAW TICK] 13:44:33  MSTR    bid=$103.03
  [RAW TICK] 13:44:33  NVDA    bid=$877.48
  [RAW TICK] 13:44:33  TSLA    bid=$250.05
  [RAW TICK] 13:44:33  NVDA    bid=$877.5
  [RAW TICK] 13:44:33  AAPL    bid=$196.05
  [RAW TICK] 13:44:33  AAPL    bid=$195.89
  [RAW TICK] 13:44:33  MSTR    bid=$102.86
  [RAW TICK] 13:44:33  MSTR    bid=$102.8
  [RAW TICK] 13:44:33  COIN    bid=$101.38
  [RAW TICK] 13:44:33  MSTR    bid=$102.78
  [RAW TICK] 13:44:33  AAPL    bid=$196.07
  [RAW TICK] 13:44:33  COIN    bid=$101.35
  [RAW TICK] 13:44:33  MSTR    bid=$102.63
  [RAW TICK] 13:44:33  AAPL    bid=$196.19
  [RAW TICK] 13:44:34  TSLA    bid=$251.16
  [RAW TICK] 13:44:34  NVDA    bid=$877.81
  [RAW TICK] 13:44:34  TSLA    bid=$251.23
  [RAW TICK] 13:44:34  TSLA    bid=$251.53
  [RAW TICK] 13:44:34  NVDA    bid=$877.97
  [RAW TICK] 13:44:34  TSLA    bid=$251.27
  [RAW TICK] 13:44:34  AAPL    bid=$196.48
  [RAW TICK] 13:44:34  MSTR    bid=$102.64
  [RAW TICK] 13:44:34  COIN    bid=$101.34
  [RAW TICK] 13:44:34  COIN    bid=$101.52
  [RAW TICK] 13:44:34  AAPL    bid=$196.42
  [RAW TICK] 13:44:34  MSTR    bid=$102.56
  [RAW TICK] 13:44:34  AAPL    bid=$196.49
  [RAW TICK] 13:44:34  AAPL    bid=$196.51
  [RAW TICK] 13:44:34  COIN    bid=$101.56
  [RAW TICK] 13:44:34  NVDA    bid=$877.72
  [RAW TICK] 13:44:34  MSTR    bid=$102.49
  [RAW TICK] 13:44:34  AAPL    bid=$196.62
  [RAW TICK] 13:44:34  NVDA    bid=$877.93
  [RAW TICK] 13:44:34  TSLA    bid=$251.14
  [RAW TICK] 13:44:34  AAPL    bid=$196.54
  [RAW TICK] 13:44:34  MSTR    bid=$102.73
  [RAW TICK] 13:44:34  COIN    bid=$101.65
  [RAW TICK] 13:44:34  COIN    bid=$101.62
  [RAW TICK] 13:44:35  COIN    bid=$101.6
  [RAW TICK] 13:44:35  COIN    bid=$101.71
  [RAW TICK] 13:44:35  COIN    bid=$101.46
  [RAW TICK] 13:44:35  AAPL    bid=$196.74
  [RAW TICK] 13:44:35  AAPL    bid=$196.61
  [RAW TICK] 13:44:35  MSTR    bid=$102.74
  [RAW TICK] 13:44:35  COIN    bid=$101.55
  [RAW TICK] 13:44:35  COIN    bid=$101.44
  [RAW TICK] 13:44:35  TSLA    bid=$251.21
  [RAW TICK] 13:44:35  MSTR    bid=$102.86
  [RAW TICK] 13:44:35  TSLA    bid=$251.01
  [RAW TICK] 13:44:35  COIN    bid=$101.42
  [RAW TICK] 13:44:35  NVDA    bid=$878.07
  [RAW TICK] 13:44:35  COIN    bid=$101.33
  [RAW TICK] 13:44:35  COIN    bid=$101.36
  [RAW TICK] 13:44:35  COIN    bid=$101.32
  [RAW TICK] 13:44:35  MSTR    bid=$102.78
  [RAW TICK] 13:44:35  MSTR    bid=$102.88
  [RAW TICK] 13:44:35  MSTR    bid=$102.8
  [RAW TICK] 13:44:35  TSLA    bid=$251.05
  [RAW TICK] 13:44:35  MSTR    bid=$102.78
  [RAW TICK] 13:44:35  MSTR    bid=$102.95
  [RAW TICK] 13:44:35  AAPL    bid=$196.71
  [RAW TICK] 13:44:35  AAPL    bid=$196.84
  [RAW TICK] 13:44:36  TSLA    bid=$251.07
  [RAW TICK] 13:44:36  COIN    bid=$101.48
  [RAW TICK] 13:44:36  TSLA    bid=$251.33
  [RAW TICK] 13:44:36  AAPL    bid=$196.93
  [RAW TICK] 13:44:36  MSTR    bid=$102.8
