  Session log : spot_check_logs\log3.txt  (started 2026-06-01 14:03:34)

  Trading Pipeline — PAPER (mock data, no real orders)
  Watching    : AAPL, TSLA, NVDA, MSTR, COIN
  Trigger     : price > rolling_mean + 2.0 * std_dev
  AI gate     : confidence > 0.65
  Order cap   : 10% of balance (fractional shares)
  [RAW TICK] 14:03:41  AAPL    bid=$195.09
  [RAW TICK] 14:03:41  AAPL    bid=$194.92
  [RAW TICK] 14:03:41  TSLA    bid=$249.34
  [RAW TICK] 14:03:41  TSLA    bid=$249.23
  [RAW TICK] 14:03:41  MSTR    bid=$101.07
  [RAW TICK] 14:03:41  COIN    bid=$101.36
  [RAW TICK] 14:03:41  AAPL    bid=$195.02
  [RAW TICK] 14:03:41  AAPL    bid=$194.78
  [RAW TICK] 14:03:41  AAPL    bid=$194.83
  [RAW TICK] 14:03:41  COIN    bid=$101.45
  [RAW TICK] 14:03:41  MSTR    bid=$101.14
  [RAW TICK] 14:03:41  MSTR    bid=$101.28
  [RAW TICK] 14:03:41  COIN    bid=$101.36
  [RAW TICK] 14:03:41  TSLA    bid=$249.26
  [RAW TICK] 14:03:41  NVDA    bid=$876.01

  [THRESHOLD TRIP] NVDA  bid=$876.01  band=$875.84  (mean=875.28, sigma=0.2829, breach=2.60σ)
  Consulting Gemini 2.5 Flash...
  [AI VERDICT] action=HOLD  confidence=0.00  urgency=NONE  code=AI_ERR_429_RESOURCE_EXHAUST
  [SKIPPED] Not enough conviction — staying flat.
  [RAW TICK] 14:03:41  TSLA    bid=$249.34
  [RAW TICK] 14:03:41  COIN    bid=$101.33
  [RAW TICK] 14:03:42  AAPL    bid=$195.11
  [RAW TICK] 14:03:42  AAPL    bid=$195.15
  [RAW TICK] 14:03:42  COIN    bid=$101.39
  [RAW TICK] 14:03:42  MSTR    bid=$101.12
  [RAW TICK] 14:03:42  NVDA    bid=$876.29
  [RAW TICK] 14:03:42  MSTR    bid=$100.99
  [RAW TICK] 14:03:42  AAPL    bid=$194.75
  [RAW TICK] 14:03:42  COIN    bid=$101.37
  [RAW TICK] 14:03:42  MSTR    bid=$100.75
  [RAW TICK] 14:03:42  COIN    bid=$101.48
  [RAW TICK] 14:03:42  AAPL    bid=$194.57
  [RAW TICK] 14:03:42  COIN    bid=$101.8
  [RAW TICK] 14:03:42  TSLA    bid=$249.15
  [RAW TICK] 14:03:42  COIN    bid=$101.85
  [RAW TICK] 14:03:42  AAPL    bid=$194.62
  [RAW TICK] 14:03:42  NVDA    bid=$876.49
  [RAW TICK] 14:03:42  NVDA    bid=$876.6
  [RAW TICK] 14:03:42  MSTR    bid=$100.81
  [RAW TICK] 14:03:42  COIN    bid=$102.12
  [RAW TICK] 14:03:42  MSTR    bid=$100.72
  [RAW TICK] 14:03:42  TSLA    bid=$249.07
  [RAW TICK] 14:03:42  TSLA    bid=$249.07
  [RAW TICK] 14:03:42  TSLA    bid=$248.92
  [RAW TICK] 14:03:42  NVDA    bid=$876.88
  [RAW TICK] 14:03:43  COIN    bid=$102.09
  [RAW TICK] 14:03:43  MSTR    bid=$100.69
  [RAW TICK] 14:03:43  TSLA    bid=$249.24
  [RAW TICK] 14:03:43  MSTR    bid=$100.45
  [RAW TICK] 14:03:43  MSTR    bid=$100.63
  [RAW TICK] 14:03:43  TSLA    bid=$249.46
  [RAW TICK] 14:03:43  MSTR    bid=$100.54
  [RAW TICK] 14:03:43  TSLA    bid=$249.41
  [RAW TICK] 14:03:43  MSTR    bid=$100.66
  [RAW TICK] 14:03:43  COIN    bid=$102.09
  [RAW TICK] 14:03:43  NVDA    bid=$876.77
  [RAW TICK] 14:03:43  AAPL    bid=$194.68
  [RAW TICK] 14:03:43  MSTR    bid=$100.45
  [RAW TICK] 14:03:43  TSLA    bid=$249.41
  [RAW TICK] 14:03:43  AAPL    bid=$194.59
  [RAW TICK] 14:03:43  TSLA    bid=$249.28
  [RAW TICK] 14:03:43  TSLA    bid=$249.35
  [RAW TICK] 14:03:43  AAPL    bid=$194.79
  [RAW TICK] 14:03:43  NVDA    bid=$876.89
  [RAW TICK] 14:03:43  AAPL    bid=$194.94
  [RAW TICK] 14:03:43  MSTR    bid=$100.5
  [RAW TICK] 14:03:43  NVDA    bid=$876.9
  [RAW TICK] 14:03:43  COIN    bid=$102.23
  [RAW TICK] 14:03:43  TSLA    bid=$249.42
  [RAW TICK] 14:03:44  MSTR    bid=$100.58
  [RAW TICK] 14:03:44  COIN    bid=$102.27
  [RAW TICK] 14:03:44  TSLA    bid=$249.42
  [RAW TICK] 14:03:44  COIN    bid=$102.26
  [RAW TICK] 14:03:44  COIN    bid=$102.25
  [RAW TICK] 14:03:44  MSTR    bid=$100.43
  [RAW TICK] 14:03:44  COIN    bid=$102.08
  [RAW TICK] 14:03:44  COIN    bid=$102.04
  [RAW TICK] 14:03:44  COIN    bid=$102.04
  [RAW TICK] 14:03:44  COIN    bid=$102.2
  [RAW TICK] 14:03:44  AAPL    bid=$194.88
  [RAW TICK] 14:03:44  COIN    bid=$102.24
  [RAW TICK] 14:03:44  MSTR    bid=$100.41
  [RAW TICK] 14:03:44  NVDA    bid=$876.86
  [RAW TICK] 14:03:44  NVDA    bid=$876.91
  [RAW TICK] 14:03:44  TSLA    bid=$249.27
  [RAW TICK] 14:03:44  AAPL    bid=$195.13
  [RAW TICK] 14:03:44  MSTR    bid=$100.44
  [RAW TICK] 14:03:44  MSTR    bid=$100.42
  [RAW TICK] 14:03:44  NVDA    bid=$877.0
  [RAW TICK] 14:03:44  AAPL    bid=$195.2
  [RAW TICK] 14:03:44  MSTR    bid=$100.52
  [RAW TICK] 14:03:44  AAPL    bid=$195.35
  [RAW TICK] 14:03:44  MSTR    bid=$99.96
  [RAW TICK] 14:03:45  AAPL    bid=$195.31
  [RAW TICK] 14:03:45  NVDA    bid=$876.77
  [RAW TICK] 14:03:45  COIN    bid=$102.26
  [RAW TICK] 14:03:45  COIN    bid=$102.16
  [RAW TICK] 14:03:45  AAPL    bid=$195.3
  [RAW TICK] 14:03:45  NVDA    bid=$876.98
  [RAW TICK] 14:03:45  NVDA    bid=$877.07
  [RAW TICK] 14:03:45  MSTR    bid=$100.05
  [RAW TICK] 14:03:45  COIN    bid=$102.24
  [RAW TICK] 14:03:45  AAPL    bid=$195.48
  [RAW TICK] 14:03:45  AAPL    bid=$195.36
  [RAW TICK] 14:03:45  MSTR    bid=$100.13
  [RAW TICK] 14:03:45  MSTR    bid=$100.09
  [RAW TICK] 14:03:45  MSTR    bid=$100.16
  [RAW TICK] 14:03:45  MSTR    bid=$100.3
  [RAW TICK] 14:03:45  TSLA    bid=$249.24
  [RAW TICK] 14:03:45  NVDA    bid=$877.05
  [RAW TICK] 14:03:45  MSTR    bid=$100.44
  [RAW TICK] 14:03:45  TSLA    bid=$249.16
  [RAW TICK] 14:03:45  MSTR    bid=$100.48
  [RAW TICK] 14:03:45  COIN    bid=$102.28
  [RAW TICK] 14:03:45  AAPL    bid=$195.28
  [RAW TICK] 14:03:45  AAPL    bid=$195.42
  [RAW TICK] 14:03:45  COIN    bid=$102.29
  [RAW TICK] 14:03:46  TSLA    bid=$249.01
  [RAW TICK] 14:03:46  MSTR    bid=$100.36
  [RAW TICK] 14:03:46  MSTR    bid=$100.52
  [RAW TICK] 14:03:46  MSTR    bid=$100.26
  [RAW TICK] 14:03:46  MSTR    bid=$100.33
  [RAW TICK] 14:03:46  NVDA    bid=$877.07
  [RAW TICK] 14:03:46  COIN    bid=$102.35
  [RAW TICK] 14:03:46  TSLA    bid=$248.77
  [RAW TICK] 14:03:46  TSLA    bid=$248.53
  [RAW TICK] 14:03:46  MSTR    bid=$100.27
  [RAW TICK] 14:03:46  TSLA    bid=$248.69
  [RAW TICK] 14:03:46  COIN    bid=$102.06
  [RAW TICK] 14:03:46  NVDA    bid=$877.16
  [RAW TICK] 14:03:46  MSTR    bid=$100.14
  [RAW TICK] 14:03:46  NVDA    bid=$877.21
  [RAW TICK] 14:03:46  TSLA    bid=$248.99
  [RAW TICK] 14:03:46  TSLA    bid=$248.76
  [RAW TICK] 14:03:46  MSTR    bid=$100.14
  [RAW TICK] 14:03:46  NVDA    bid=$876.9
  [RAW TICK] 14:03:46  NVDA    bid=$877.04
  [RAW TICK] 14:03:46  NVDA    bid=$877.0
  [RAW TICK] 14:03:46  MSTR    bid=$100.35
  [RAW TICK] 14:03:46  NVDA    bid=$877.18
  [RAW TICK] 14:03:46  COIN    bid=$101.97
  [RAW TICK] 14:03:47  TSLA    bid=$248.59
  [RAW TICK] 14:03:47  MSTR    bid=$100.23
  [RAW TICK] 14:03:47  NVDA    bid=$877.29
  [RAW TICK] 14:03:47  COIN    bid=$101.96
  [RAW TICK] 14:03:47  COIN    bid=$101.77
  [RAW TICK] 14:03:47  MSTR    bid=$100.08
  [RAW TICK] 14:03:47  MSTR    bid=$100.1
  [RAW TICK] 14:03:47  AAPL    bid=$195.48
  [RAW TICK] 14:03:47  TSLA    bid=$248.69
  [RAW TICK] 14:03:47  NVDA    bid=$877.13
  [RAW TICK] 14:03:47  AAPL    bid=$195.44
  [RAW TICK] 14:03:47  NVDA    bid=$876.92
  [RAW TICK] 14:03:47  MSTR    bid=$100.13
  [RAW TICK] 14:03:47  AAPL    bid=$195.37
  [RAW TICK] 14:03:47  NVDA    bid=$876.98
  [RAW TICK] 14:03:47  TSLA    bid=$248.71
  [RAW TICK] 14:03:47  TSLA    bid=$248.59
  [RAW TICK] 14:03:47  AAPL    bid=$195.36
  [RAW TICK] 14:03:47  TSLA    bid=$248.46
  [RAW TICK] 14:03:47  MSTR    bid=$99.89
  [RAW TICK] 14:03:47  NVDA    bid=$876.89
  [RAW TICK] 14:03:47  TSLA    bid=$248.52
  [RAW TICK] 14:03:47  TSLA    bid=$248.47
  [RAW TICK] 14:03:47  COIN    bid=$102.91
  [RAW TICK] 14:03:48  COIN    bid=$102.7
  [RAW TICK] 14:03:48  TSLA    bid=$248.43
  [RAW TICK] 14:03:48  TSLA    bid=$248.36
  [RAW TICK] 14:03:48  TSLA    bid=$248.32
  [RAW TICK] 14:03:48  AAPL    bid=$195.28
  [RAW TICK] 14:03:48  TSLA    bid=$248.62
  [RAW TICK] 14:03:48  AAPL    bid=$195.36
  [RAW TICK] 14:03:48  TSLA    bid=$248.66
  [RAW TICK] 14:03:48  MSTR    bid=$99.93
  [RAW TICK] 14:03:48  COIN    bid=$102.94
  [RAW TICK] 14:03:48  MSTR    bid=$100.16
  [RAW TICK] 14:03:48  AAPL    bid=$195.3
  [RAW TICK] 14:03:48  COIN    bid=$102.91
  [RAW TICK] 14:03:48  AAPL    bid=$195.17
  [RAW TICK] 14:03:48  TSLA    bid=$248.6
  [RAW TICK] 14:03:48  COIN    bid=$102.82
  [RAW TICK] 14:03:48  COIN    bid=$102.94
  [RAW TICK] 14:03:48  COIN    bid=$103.79
  [RAW TICK] 14:03:48  NVDA    bid=$877.09
  [RAW TICK] 14:03:48  COIN    bid=$103.66
  [RAW TICK] 14:03:48  TSLA    bid=$248.6
  [RAW TICK] 14:03:48  NVDA    bid=$877.35
  [RAW TICK] 14:03:48  COIN    bid=$104.63
  [RAW TICK] 14:03:49  AAPL    bid=$195.11
  [RAW TICK] 14:03:49  MSTR    bid=$100.36
  [RAW TICK] 14:03:49  NVDA    bid=$877.54
  [RAW TICK] 14:03:49  AAPL    bid=$195.19
  [RAW TICK] 14:03:49  AAPL    bid=$195.65
  [RAW TICK] 14:03:49  MSTR    bid=$100.05
  [RAW TICK] 14:03:49  COIN    bid=$104.33
  [RAW TICK] 14:03:49  TSLA    bid=$250.04

  [THRESHOLD TRIP] TSLA  bid=$250.04  band=$249.73  (mean=248.88, sigma=0.4239, breach=2.74σ)
  Consulting Gemini 2.5 Flash...
  [AI VERDICT] action=HOLD  confidence=0.00  urgency=NONE  code=AI_ERR_429_RESOURCE_EXHAUST
  [SKIPPED] Not enough conviction — staying flat.
  [RAW TICK] 14:03:49  TSLA    bid=$250.19
  [RAW TICK] 14:03:49  COIN    bid=$104.33
  [RAW TICK] 14:03:49  TSLA    bid=$250.17
  [RAW TICK] 14:03:49  NVDA    bid=$877.48
  [RAW TICK] 14:03:49  TSLA    bid=$250.3
  [RAW TICK] 14:03:49  AAPL    bid=$195.63
  [RAW TICK] 14:03:49  AAPL    bid=$195.77
  [RAW TICK] 14:03:49  MSTR    bid=$100.15
  [RAW TICK] 14:03:49  AAPL    bid=$195.95
  [RAW TICK] 14:03:49  TSLA    bid=$250.22
  [RAW TICK] 14:03:49  AAPL    bid=$196.3

  [THRESHOLD TRIP] AAPL  bid=$196.30  band=$196.03  (mean=195.29, sigma=0.3719, breach=2.72σ)
  Consulting Gemini 2.5 Flash...
  [AI VERDICT] action=HOLD  confidence=0.00  urgency=NONE  code=AI_ERR_429_RESOURCE_EXHAUST
  [SKIPPED] Not enough conviction — staying flat.
  [RAW TICK] 14:03:50  NVDA    bid=$877.66
  [RAW TICK] 14:03:50  COIN    bid=$104.39
  [RAW TICK] 14:03:50  NVDA    bid=$877.73
  [RAW TICK] 14:03:50  COIN    bid=$104.61
  [RAW TICK] 14:03:50  MSTR    bid=$100.27
  [RAW TICK] 14:03:50  TSLA    bid=$250.17
  [RAW TICK] 14:03:50  AAPL    bid=$196.23
  [RAW TICK] 14:03:50  AAPL    bid=$196.18
  [RAW TICK] 14:03:50  NVDA    bid=$877.5
  [RAW TICK] 14:03:50  COIN    bid=$104.73
  [RAW TICK] 14:03:50  TSLA    bid=$251.13
  [RAW TICK] 14:03:50  MSTR    bid=$100.24
  [RAW TICK] 14:03:50  TSLA    bid=$251.46
  [RAW TICK] 14:03:50  MSTR    bid=$100.31
  [RAW TICK] 14:03:50  AAPL    bid=$196.16
  [RAW TICK] 14:03:50  COIN    bid=$104.97
  [RAW TICK] 14:03:50  COIN    bid=$104.89
  [RAW TICK] 14:03:50  MSTR    bid=$100.18
  [RAW TICK] 14:03:50  AAPL    bid=$196.48
  [RAW TICK] 14:03:50  COIN    bid=$104.61
  [RAW TICK] 14:03:51  TSLA    bid=$251.18
  [RAW TICK] 14:03:51  MSTR    bid=$100.37
  [RAW TICK] 14:03:51  TSLA    bid=$250.86
  [RAW TICK] 14:03:51  TSLA    bid=$250.88
  [RAW TICK] 14:03:51  TSLA    bid=$250.89
  [RAW TICK] 14:03:51  TSLA    bid=$250.95
  [RAW TICK] 14:03:51  TSLA    bid=$250.98
  [RAW TICK] 14:03:51  NVDA    bid=$877.37
  [RAW TICK] 14:03:51  TSLA    bid=$250.9
  [RAW TICK] 14:03:51  TSLA    bid=$250.83
  [RAW TICK] 14:03:51  NVDA    bid=$877.51
  [RAW TICK] 14:03:51  TSLA    bid=$250.84
  [RAW TICK] 14:03:51  TSLA    bid=$250.87
  [RAW TICK] 14:03:51  MSTR    bid=$100.45
  [RAW TICK] 14:03:51  NVDA    bid=$877.64
  [RAW TICK] 14:03:51  NVDA    bid=$877.69
  [RAW TICK] 14:03:51  COIN    bid=$104.33
  [RAW TICK] 14:03:51  AAPL    bid=$196.7
  [RAW TICK] 14:03:51  COIN    bid=$104.37
  [RAW TICK] 14:03:51  TSLA    bid=$251.02
  [RAW TICK] 14:03:51  TSLA    bid=$250.85
  [RAW TICK] 14:03:51  COIN    bid=$104.37
  [RAW TICK] 14:03:51  NVDA    bid=$877.83
  [RAW TICK] 14:03:51  MSTR    bid=$100.4
  [RAW TICK] 14:03:52  MSTR    bid=$101.47

  [THRESHOLD TRIP] MSTR  bid=$101.47  band=$100.83  (mean=100.28, sigma=0.2712, breach=4.37σ)
  Consulting Gemini 2.5 Flash...
  [AI VERDICT] action=HOLD  confidence=0.00  urgency=NONE  code=AI_ERR_429_RESOURCE_EXHAUST
  [SKIPPED] Not enough conviction — staying flat.
  [RAW TICK] 14:03:52  NVDA    bid=$877.72
  [RAW TICK] 14:03:52  MSTR    bid=$101.67
  [RAW TICK] 14:03:52  NVDA    bid=$877.55
  [RAW TICK] 14:03:52  MSTR    bid=$101.49
  [RAW TICK] 14:03:52  TSLA    bid=$250.78
  [RAW TICK] 14:03:52  TSLA    bid=$250.59
  [RAW TICK] 14:03:52  AAPL    bid=$196.79
  [RAW TICK] 14:03:52  MSTR    bid=$101.68
  [RAW TICK] 14:03:52  COIN    bid=$104.33
  [RAW TICK] 14:03:52  NVDA    bid=$877.97
  [RAW TICK] 14:03:52  AAPL    bid=$196.6
  [RAW TICK] 14:03:52  MSTR    bid=$101.78
  [RAW TICK] 14:03:52  TSLA    bid=$250.59
  [RAW TICK] 14:03:52  MSTR    bid=$101.66
  [RAW TICK] 14:03:52  MSTR    bid=$101.71
  [RAW TICK] 14:03:52  AAPL    bid=$196.51
  [RAW TICK] 14:03:52  MSTR    bid=$101.87
  [RAW TICK] 14:03:52  AAPL    bid=$196.58
  [RAW TICK] 14:03:52  NVDA    bid=$878.03
  [RAW TICK] 14:03:53  MSTR    bid=$101.92
  [RAW TICK] 14:03:53  NVDA    bid=$878.13
  [RAW TICK] 14:03:53  MSTR    bid=$102.11
  [RAW TICK] 14:03:53  AAPL    bid=$196.42
  [RAW TICK] 14:03:53  AAPL    bid=$196.28
  [RAW TICK] 14:03:53  MSTR    bid=$102.29
  [RAW TICK] 14:03:53  MSTR    bid=$102.54
  [RAW TICK] 14:03:53  AAPL    bid=$196.43
  [RAW TICK] 14:03:53  NVDA    bid=$878.03
  [RAW TICK] 14:03:53  TSLA    bid=$250.43
  [RAW TICK] 14:03:53  NVDA    bid=$877.94
  [RAW TICK] 14:03:53  COIN    bid=$104.24
  [RAW TICK] 14:03:53  MSTR    bid=$102.5
  [RAW TICK] 14:03:53  AAPL    bid=$196.45
  [RAW TICK] 14:03:53  NVDA    bid=$877.9
  [RAW TICK] 14:03:53  COIN    bid=$104.19
  [RAW TICK] 14:03:53  AAPL    bid=$196.31
  [RAW TICK] 14:03:53  AAPL    bid=$196.35
  [RAW TICK] 14:03:53  TSLA    bid=$250.52
  [RAW TICK] 14:03:53  AAPL    bid=$196.3
  [RAW TICK] 14:03:53  MSTR    bid=$102.72
  [RAW TICK] 14:03:53  AAPL    bid=$196.02
  [RAW TICK] 14:03:53  TSLA    bid=$250.31
  [RAW TICK] 14:03:53  NVDA    bid=$877.8
  [RAW TICK] 14:03:54  MSTR    bid=$102.57
  [RAW TICK] 14:03:54  MSTR    bid=$102.3
  [RAW TICK] 14:03:54  AAPL    bid=$196.06
  [RAW TICK] 14:03:54  AAPL    bid=$196.21
  [RAW TICK] 14:03:54  NVDA    bid=$877.88
  [RAW TICK] 14:03:54  MSTR    bid=$102.26
  [RAW TICK] 14:03:54  NVDA    bid=$877.94
  [RAW TICK] 14:03:54  TSLA    bid=$250.11
  [RAW TICK] 14:03:54  AAPL    bid=$196.11
  [RAW TICK] 14:03:54  AAPL    bid=$196.17
  [RAW TICK] 14:03:54  AAPL    bid=$196.4
  [RAW TICK] 14:03:54  TSLA    bid=$250.04
  [RAW TICK] 14:03:54  NVDA    bid=$877.77
  [RAW TICK] 14:03:54  COIN    bid=$104.28
  [RAW TICK] 14:03:54  NVDA    bid=$877.89
  [RAW TICK] 14:03:54  AAPL    bid=$196.54
  [RAW TICK] 14:03:54  NVDA    bid=$878.04
  [RAW TICK] 14:03:54  AAPL    bid=$196.46
  [RAW TICK] 14:03:54  MSTR    bid=$102.08
  [RAW TICK] 14:03:54  NVDA    bid=$878.12
  [RAW TICK] 14:03:54  NVDA    bid=$878.05
  [RAW TICK] 14:03:54  AAPL    bid=$196.42
  [RAW TICK] 14:03:54  MSTR    bid=$101.98
  [RAW TICK] 14:03:54  AAPL    bid=$196.31
  [RAW TICK] 14:03:55  MSTR    bid=$101.9
