  Session log : spot_check_logs\log4.txt  (started 2026-06-01 14:16:51)

  Trading Pipeline — PAPER (mock data, no real orders)
  Watching    : AAPL, TSLA, NVDA, MSTR, COIN
  Trigger     : price > rolling_mean + 2.0 * std_dev
  AI gate     : confidence > 0.65
  Order cap   : 10% of balance (fractional shares)
  [RAW TICK] 14:16:56  MSTR    bid=$102.15
  [RAW TICK] 14:16:56  TSLA    bid=$249.0
  [RAW TICK] 14:16:56  AAPL    bid=$194.08
  [RAW TICK] 14:16:57  COIN    bid=$100.8
  [RAW TICK] 14:16:57  TSLA    bid=$249.13
  [RAW TICK] 14:16:57  MSTR    bid=$102.07
  [RAW TICK] 14:16:57  MSTR    bid=$102.08
  [RAW TICK] 14:16:57  NVDA    bid=$873.38
  [RAW TICK] 14:16:57  TSLA    bid=$249.46
  [RAW TICK] 14:16:57  MSTR    bid=$102.28
  [RAW TICK] 14:16:57  NVDA    bid=$873.14
  [RAW TICK] 14:16:57  MSTR    bid=$102.28
  [RAW TICK] 14:16:57  COIN    bid=$100.68
  [RAW TICK] 14:16:57  AAPL    bid=$194.2
  [RAW TICK] 14:16:57  COIN    bid=$100.61
  [RAW TICK] 14:16:57  MSTR    bid=$102.34
  [RAW TICK] 14:16:57  MSTR    bid=$102.62
  [RAW TICK] 14:16:57  TSLA    bid=$249.26
  [RAW TICK] 14:16:57  TSLA    bid=$249.53
  [RAW TICK] 14:16:57  NVDA    bid=$873.06
  [RAW TICK] 14:16:57  COIN    bid=$100.5
  [RAW TICK] 14:16:57  TSLA    bid=$249.67
  [RAW TICK] 14:16:57  MSTR    bid=$102.58
  [RAW TICK] 14:16:57  MSTR    bid=$102.5
  [RAW TICK] 14:16:57  COIN    bid=$100.32
  [RAW TICK] 14:16:57  COIN    bid=$100.09
  [RAW TICK] 14:16:57  AAPL    bid=$193.97
  [RAW TICK] 14:16:58  NVDA    bid=$873.39
  [RAW TICK] 14:16:58  TSLA    bid=$249.49
  [RAW TICK] 14:16:58  AAPL    bid=$193.95
  [RAW TICK] 14:16:58  MSTR    bid=$102.3
  [RAW TICK] 14:16:58  COIN    bid=$99.96
  [RAW TICK] 14:16:58  NVDA    bid=$873.47
  [RAW TICK] 14:16:58  NVDA    bid=$873.64
  [RAW TICK] 14:16:58  TSLA    bid=$249.86
  [RAW TICK] 14:16:58  TSLA    bid=$249.81
  [RAW TICK] 14:16:58  MSTR    bid=$102.54
  [RAW TICK] 14:16:58  AAPL    bid=$193.97
  [RAW TICK] 14:16:58  NVDA    bid=$873.81
  [RAW TICK] 14:16:58  AAPL    bid=$193.96
  [RAW TICK] 14:16:58  MSTR    bid=$102.52
  [RAW TICK] 14:16:58  AAPL    bid=$194.39
  [RAW TICK] 14:16:58  COIN    bid=$99.75
  [RAW TICK] 14:16:58  MSTR    bid=$102.56
  [RAW TICK] 14:16:58  NVDA    bid=$873.83
  [RAW TICK] 14:16:58  NVDA    bid=$873.71
  [RAW TICK] 14:16:58  COIN    bid=$99.66
  [RAW TICK] 14:16:58  TSLA    bid=$250.0
  [RAW TICK] 14:16:58  COIN    bid=$99.58
  [RAW TICK] 14:16:58  TSLA    bid=$250.11
  [RAW TICK] 14:16:58  COIN    bid=$99.87
  [RAW TICK] 14:16:59  AAPL    bid=$194.41
  [RAW TICK] 14:16:59  AAPL    bid=$194.45
  [RAW TICK] 14:16:59  COIN    bid=$99.76
  [RAW TICK] 14:16:59  NVDA    bid=$873.63
  [RAW TICK] 14:16:59  MSTR    bid=$102.68
  [RAW TICK] 14:16:59  NVDA    bid=$873.66
  [RAW TICK] 14:16:59  TSLA    bid=$250.2
  [RAW TICK] 14:16:59  TSLA    bid=$250.28
  [RAW TICK] 14:16:59  TSLA    bid=$250.39
  [RAW TICK] 14:16:59  AAPL    bid=$194.34
  [RAW TICK] 14:16:59  NVDA    bid=$873.37
  [RAW TICK] 14:16:59  NVDA    bid=$873.52
  [RAW TICK] 14:16:59  AAPL    bid=$194.12
  [RAW TICK] 14:16:59  MSTR    bid=$102.86
  [RAW TICK] 14:16:59  COIN    bid=$99.78
  [RAW TICK] 14:16:59  NVDA    bid=$873.52
  [RAW TICK] 14:16:59  MSTR    bid=$102.78
  [RAW TICK] 14:16:59  TSLA    bid=$250.38
  [RAW TICK] 14:16:59  MSTR    bid=$102.73
  [RAW TICK] 14:16:59  AAPL    bid=$194.06
  [RAW TICK] 14:16:59  COIN    bid=$100.03
  [RAW TICK] 14:16:59  AAPL    bid=$193.98
  [RAW TICK] 14:16:59  NVDA    bid=$873.43
  [RAW TICK] 14:16:59  COIN    bid=$99.88
  [RAW TICK] 14:17:00  AAPL    bid=$194.03
  [RAW TICK] 14:17:00  NVDA    bid=$873.28
  [RAW TICK] 14:17:00  TSLA    bid=$250.31
  [RAW TICK] 14:17:00  COIN    bid=$99.87
  [RAW TICK] 14:17:00  NVDA    bid=$873.34
  [RAW TICK] 14:17:00  AAPL    bid=$194.33
  [RAW TICK] 14:17:00  COIN    bid=$100.05
  [RAW TICK] 14:17:00  TSLA    bid=$250.29
  [RAW TICK] 14:17:00  COIN    bid=$99.82
  [RAW TICK] 14:17:00  AAPL    bid=$194.3
  [RAW TICK] 14:17:00  AAPL    bid=$194.21
  [RAW TICK] 14:17:00  NVDA    bid=$873.18
  [RAW TICK] 14:17:00  COIN    bid=$99.75
  [RAW TICK] 14:17:00  MSTR    bid=$104.04
  [RAW TICK] 14:17:00  AAPL    bid=$194.07
  [RAW TICK] 14:17:00  TSLA    bid=$250.28
  [RAW TICK] 14:17:00  AAPL    bid=$194.23
  [RAW TICK] 14:17:00  COIN    bid=$99.75
  [RAW TICK] 14:17:00  COIN    bid=$99.84
  [RAW TICK] 14:17:00  NVDA    bid=$873.09
  [RAW TICK] 14:17:00  COIN    bid=$99.87
  [RAW TICK] 14:17:00  NVDA    bid=$873.07
  [RAW TICK] 14:17:00  COIN    bid=$99.94
  [RAW TICK] 14:17:00  TSLA    bid=$250.23
  [RAW TICK] 14:17:01  NVDA    bid=$872.83
  [RAW TICK] 14:17:01  TSLA    bid=$250.31
  [RAW TICK] 14:17:01  COIN    bid=$100.05
  [RAW TICK] 14:17:01  MSTR    bid=$103.92
  [RAW TICK] 14:17:01  AAPL    bid=$194.09
  [RAW TICK] 14:17:01  NVDA    bid=$873.14
  [RAW TICK] 14:17:01  AAPL    bid=$194.14
  [RAW TICK] 14:17:01  TSLA    bid=$250.39
  [RAW TICK] 14:17:01  COIN    bid=$100.11
  [RAW TICK] 14:17:01  NVDA    bid=$873.11
  [RAW TICK] 14:17:01  AAPL    bid=$194.52
  [RAW TICK] 14:17:01  MSTR    bid=$103.95
  [RAW TICK] 14:17:01  MSTR    bid=$103.74
  [RAW TICK] 14:17:01  TSLA    bid=$250.26
  [RAW TICK] 14:17:01  COIN    bid=$100.26
  [RAW TICK] 14:17:01  AAPL    bid=$194.47
  [RAW TICK] 14:17:01  TSLA    bid=$250.44
  [RAW TICK] 14:17:01  MSTR    bid=$103.89
  [RAW TICK] 14:17:01  MSTR    bid=$103.68
  [RAW TICK] 14:17:01  NVDA    bid=$872.93
  [RAW TICK] 14:17:01  TSLA    bid=$250.53
  [RAW TICK] 14:17:01  AAPL    bid=$194.49
  [RAW TICK] 14:17:01  AAPL    bid=$194.48
  [RAW TICK] 14:17:01  MSTR    bid=$103.83
  [RAW TICK] 14:17:02  TSLA    bid=$250.53
  [RAW TICK] 14:17:02  AAPL    bid=$194.41
  [RAW TICK] 14:17:02  NVDA    bid=$872.96
  [RAW TICK] 14:17:02  TSLA    bid=$250.82
  [RAW TICK] 14:17:02  TSLA    bid=$250.93
  [RAW TICK] 14:17:02  MSTR    bid=$103.87
  [RAW TICK] 14:17:02  AAPL    bid=$194.47
  [RAW TICK] 14:17:02  MSTR    bid=$103.57
  [RAW TICK] 14:17:02  AAPL    bid=$194.6
  [RAW TICK] 14:17:02  MSTR    bid=$103.94
  [RAW TICK] 14:17:02  MSTR    bid=$104.02
  [RAW TICK] 14:17:02  MSTR    bid=$103.98
  [RAW TICK] 14:17:02  NVDA    bid=$873.09
  [RAW TICK] 14:17:02  COIN    bid=$100.25
  [RAW TICK] 14:17:02  TSLA    bid=$251.21
  [RAW TICK] 14:17:02  COIN    bid=$100.21
  [RAW TICK] 14:17:02  NVDA    bid=$873.01
  [RAW TICK] 14:17:02  NVDA    bid=$873.09
  [RAW TICK] 14:17:02  COIN    bid=$100.25
  [RAW TICK] 14:17:02  MSTR    bid=$104.3
  [RAW TICK] 14:17:02  AAPL    bid=$194.71
  [RAW TICK] 14:17:02  TSLA    bid=$251.32
  [RAW TICK] 14:17:02  COIN    bid=$100.4
  [RAW TICK] 14:17:02  COIN    bid=$100.24
  [RAW TICK] 14:17:03  COIN    bid=$100.31
  [RAW TICK] 14:17:03  NVDA    bid=$872.97
  [RAW TICK] 14:17:03  NVDA    bid=$872.94
  [RAW TICK] 14:17:03  COIN    bid=$100.44
  [RAW TICK] 14:17:03  TSLA    bid=$251.23
  [RAW TICK] 14:17:03  TSLA    bid=$251.54
  [RAW TICK] 14:17:03  TSLA    bid=$251.47
  [RAW TICK] 14:17:03  COIN    bid=$100.56
  [RAW TICK] 14:17:03  MSTR    bid=$104.42
  [RAW TICK] 14:17:03  NVDA    bid=$873.06
  [RAW TICK] 14:17:03  TSLA    bid=$251.66
  [RAW TICK] 14:17:03  COIN    bid=$100.45
  [RAW TICK] 14:17:03  COIN    bid=$100.48
  [RAW TICK] 14:17:03  NVDA    bid=$873.15
  [RAW TICK] 14:17:03  COIN    bid=$100.48
  [RAW TICK] 14:17:03  TSLA    bid=$251.5
  [RAW TICK] 14:17:03  COIN    bid=$100.65
  [RAW TICK] 14:17:03  MSTR    bid=$104.48
  [RAW TICK] 14:17:03  MSTR    bid=$104.46
  [RAW TICK] 14:17:03  COIN    bid=$100.77
  [RAW TICK] 14:17:03  COIN    bid=$100.73
  [RAW TICK] 14:17:03  TSLA    bid=$251.42
  [RAW TICK] 14:17:03  COIN    bid=$100.92
  [RAW TICK] 14:17:03  TSLA    bid=$251.37
  [RAW TICK] 14:17:04  AAPL    bid=$194.61
  [RAW TICK] 14:17:04  MSTR    bid=$104.56
  [RAW TICK] 14:17:04  COIN    bid=$101.03
  [RAW TICK] 14:17:04  NVDA    bid=$873.19
  [RAW TICK] 14:17:04  NVDA    bid=$873.08
  [RAW TICK] 14:17:04  AAPL    bid=$194.61
  [RAW TICK] 14:17:04  COIN    bid=$100.76
  [RAW TICK] 14:17:04  NVDA    bid=$873.1
  [RAW TICK] 14:17:04  COIN    bid=$100.75
  [RAW TICK] 14:17:04  TSLA    bid=$252.26
  [RAW TICK] 14:17:04  TSLA    bid=$252.34
  [RAW TICK] 14:17:04  NVDA    bid=$872.82
  [RAW TICK] 14:17:04  AAPL    bid=$194.62
  [RAW TICK] 14:17:04  AAPL    bid=$194.58
  [RAW TICK] 14:17:04  COIN    bid=$100.75
  [RAW TICK] 14:17:04  COIN    bid=$100.42
  [RAW TICK] 14:17:04  NVDA    bid=$872.98
  [RAW TICK] 14:17:04  AAPL    bid=$194.55
  [RAW TICK] 14:17:04  COIN    bid=$100.54
  [RAW TICK] 14:17:04  MSTR    bid=$104.45
  [RAW TICK] 14:17:04  AAPL    bid=$194.41
  [RAW TICK] 14:17:04  NVDA    bid=$872.9
  [RAW TICK] 14:17:04  COIN    bid=$100.44
  [RAW TICK] 14:17:04  COIN    bid=$100.41
  [RAW TICK] 14:17:05  AAPL    bid=$194.31
  [RAW TICK] 14:17:05  TSLA    bid=$252.43
  [RAW TICK] 14:17:05  AAPL    bid=$195.53

  [THRESHOLD TRIP] AAPL  bid=$195.53  band=$194.99  (mean=194.40, sigma=0.2946, breach=3.82σ)
  [AUTO BUY] Gemini disabled — buying on sigma breach.
  [PAPER RISK CHECK]  balance=$162,000.00  budget(10%)=$16,200.00  → 82.85174 shares of AAPL  (~$16,200.00)
[PAPER FILL] 2026-06-01 14:17:05.092206 | BUY 82.85174 AAPL @ $195.53  |  Cash: $145,800.00
  [RAW TICK] 14:17:05  MSTR    bid=$104.49
  [RAW TICK] 14:17:05  COIN    bid=$100.12
  [RAW TICK] 14:17:05  AAPL    bid=$195.51
  [RAW TICK] 14:17:05  AAPL    bid=$195.49
  [RAW TICK] 14:17:05  MSTR    bid=$104.47
  [RAW TICK] 14:17:05  NVDA    bid=$872.72
  [RAW TICK] 14:17:05  AAPL    bid=$195.71
  [RAW TICK] 14:17:05  NVDA    bid=$872.64
  [RAW TICK] 14:17:05  NVDA    bid=$872.75
  [RAW TICK] 14:17:05  COIN    bid=$100.11
  [RAW TICK] 14:17:05  TSLA    bid=$252.45
  [RAW TICK] 14:17:05  COIN    bid=$100.33
  [RAW TICK] 14:17:05  AAPL    bid=$195.87
  [RAW TICK] 14:17:05  TSLA    bid=$252.44
  [RAW TICK] 14:17:05  TSLA    bid=$252.44
  [RAW TICK] 14:17:05  TSLA    bid=$252.51
  [RAW TICK] 14:17:05  MSTR    bid=$104.5
  [RAW TICK] 14:17:05  TSLA    bid=$252.67
  [RAW TICK] 14:17:05  NVDA    bid=$872.94
  [RAW TICK] 14:17:05  TSLA    bid=$252.59
  [RAW TICK] 14:17:05  AAPL    bid=$195.65
  [RAW TICK] 14:17:06  NVDA    bid=$872.98
  [RAW TICK] 14:17:06  MSTR    bid=$104.51
  [RAW TICK] 14:17:06  COIN    bid=$100.53
  [RAW TICK] 14:17:06  COIN    bid=$100.63
  [RAW TICK] 14:17:06  AAPL    bid=$195.58
  [RAW TICK] 14:17:06  TSLA    bid=$252.49
  [RAW TICK] 14:17:06  AAPL    bid=$195.5
  [RAW TICK] 14:17:06  NVDA    bid=$872.75
  [RAW TICK] 14:17:06  NVDA    bid=$872.71
  [RAW TICK] 14:17:06  COIN    bid=$100.81
  [RAW TICK] 14:17:06  AAPL    bid=$195.48
  [RAW TICK] 14:17:06  AAPL    bid=$195.17
  [RAW TICK] 14:17:06  MSTR    bid=$104.53
  [RAW TICK] 14:17:06  AAPL    bid=$195.2
  [RAW TICK] 14:17:06  AAPL    bid=$195.17
  [RAW TICK] 14:17:06  MSTR    bid=$104.39
  [RAW TICK] 14:17:06  AAPL    bid=$195.15
  [RAW TICK] 14:17:06  MSTR    bid=$104.4
  [RAW TICK] 14:17:06  AAPL    bid=$195.26
  [RAW TICK] 14:17:06  AAPL    bid=$195.09
  [RAW TICK] 14:17:06  COIN    bid=$100.67
  [RAW TICK] 14:17:06  MSTR    bid=$104.4
  [RAW TICK] 14:17:06  NVDA    bid=$872.74
  [RAW TICK] 14:17:06  NVDA    bid=$872.65
  [RAW TICK] 14:17:07  MSTR    bid=$104.39
  [RAW TICK] 14:17:07  MSTR    bid=$104.39
  [RAW TICK] 14:17:07  MSTR    bid=$104.4
  [RAW TICK] 14:17:07  NVDA    bid=$872.78
  [RAW TICK] 14:17:07  TSLA    bid=$252.37
  [RAW TICK] 14:17:07  NVDA    bid=$872.68
  [RAW TICK] 14:17:07  AAPL    bid=$195.08
  [RAW TICK] 14:17:07  AAPL    bid=$195.13
  [RAW TICK] 14:17:07  AAPL    bid=$195.01
  [RAW TICK] 14:17:07  TSLA    bid=$252.13
  [RAW TICK] 14:17:07  MSTR    bid=$104.24
  [RAW TICK] 14:17:07  COIN    bid=$100.6
  [RAW TICK] 14:17:07  AAPL    bid=$194.73
  [RAW TICK] 14:17:07  TSLA    bid=$252.25
  [RAW TICK] 14:17:07  TSLA    bid=$252.26
  [RAW TICK] 14:17:07  AAPL    bid=$194.65
  [RAW TICK] 14:17:07  TSLA    bid=$252.24
  [RAW TICK] 14:17:07  AAPL    bid=$194.56
  [RAW TICK] 14:17:07  TSLA    bid=$252.36
  [RAW TICK] 14:17:07  MSTR    bid=$104.26
  [RAW TICK] 14:17:07  NVDA    bid=$872.71
  [RAW TICK] 14:17:07  COIN    bid=$100.25
  [RAW TICK] 14:17:07  AAPL    bid=$194.5
  [RAW TICK] 14:17:07  TSLA    bid=$252.29
  [RAW TICK] 14:17:08  NVDA    bid=$872.62
  [RAW TICK] 14:17:08  COIN    bid=$100.14
  [RAW TICK] 14:17:08  NVDA    bid=$872.7
  [RAW TICK] 14:17:08  TSLA    bid=$252.39
  [RAW TICK] 14:17:08  TSLA    bid=$252.4
  [RAW TICK] 14:17:08  COIN    bid=$100.16
  [RAW TICK] 14:17:08  MSTR    bid=$105.61

  [TAKE PROFIT] MSTR  cost=$101.8800  now=$105.6100  gain=+3.66%  selling 176.67844 shares
[PAPER FILL] 2026-06-01 14:17:08.255123 | SELL 176.67844 MSTR @ $105.61  |  Cash: $164,459.01
  [RAW TICK] 14:17:08  COIN    bid=$100.23
  [RAW TICK] 14:17:08  MSTR    bid=$105.5
  [RAW TICK] 14:17:08  NVDA    bid=$872.75
  [RAW TICK] 14:17:08  NVDA    bid=$872.42
  [RAW TICK] 14:17:08  COIN    bid=$100.38
  [RAW TICK] 14:17:08  TSLA    bid=$252.38
  [RAW TICK] 14:17:08  NVDA    bid=$872.53
  [RAW TICK] 14:17:08  MSTR    bid=$105.33
  [RAW TICK] 14:17:08  TSLA    bid=$252.35
  [RAW TICK] 14:17:08  NVDA    bid=$872.38
  [RAW TICK] 14:17:08  NVDA    bid=$872.4
  [RAW TICK] 14:17:08  COIN    bid=$100.62
  [RAW TICK] 14:17:08  AAPL    bid=$194.67
  [RAW TICK] 14:17:08  AAPL    bid=$194.84
  [RAW TICK] 14:17:08  TSLA    bid=$252.26
  [RAW TICK] 14:17:08  AAPL    bid=$194.89
  [RAW TICK] 14:17:08  MSTR    bid=$105.45
  [RAW TICK] 14:17:09  MSTR    bid=$106.37
  [RAW TICK] 14:17:09  MSTR    bid=$106.27
  [RAW TICK] 14:17:09  COIN    bid=$100.48
  [RAW TICK] 14:17:09  NVDA    bid=$872.3
  [RAW TICK] 14:17:09  AAPL    bid=$194.96
  [RAW TICK] 14:17:09  TSLA    bid=$252.52
  [RAW TICK] 14:17:09  NVDA    bid=$872.13
  [RAW TICK] 14:17:09  MSTR    bid=$106.07
  [RAW TICK] 14:17:09  NVDA    bid=$872.29
  [RAW TICK] 14:17:09  TSLA    bid=$252.48
  [RAW TICK] 14:17:09  AAPL    bid=$195.03
  [RAW TICK] 14:17:09  COIN    bid=$100.51
  [RAW TICK] 14:17:09  AAPL    bid=$195.08
  [RAW TICK] 14:17:09  AAPL    bid=$195.22
  [RAW TICK] 14:17:09  NVDA    bid=$872.31
  [RAW TICK] 14:17:09  AAPL    bid=$194.94
  [RAW TICK] 14:17:09  MSTR    bid=$106.52
  [RAW TICK] 14:17:09  AAPL    bid=$194.95
  [RAW TICK] 14:17:09  AAPL    bid=$194.91
  [RAW TICK] 14:17:09  TSLA    bid=$252.5
  [RAW TICK] 14:17:09  TSLA    bid=$252.7
  [RAW TICK] 14:17:09  TSLA    bid=$252.72
  [RAW TICK] 14:17:09  AAPL    bid=$194.96
  [RAW TICK] 14:17:09  NVDA    bid=$872.32
  [RAW TICK] 14:17:10  AAPL    bid=$194.99
  [RAW TICK] 14:17:10  COIN    bid=$100.54
  [RAW TICK] 14:17:10  MSTR    bid=$106.48
  [RAW TICK] 14:17:10  AAPL    bid=$195.01
  [RAW TICK] 14:17:10  MSTR    bid=$106.37
  [RAW TICK] 14:17:10  MSTR    bid=$106.26
  [RAW TICK] 14:17:10  NVDA    bid=$872.44
  [RAW TICK] 14:17:10  TSLA    bid=$252.85
  [RAW TICK] 14:17:10  AAPL    bid=$195.15
  [RAW TICK] 14:17:10  AAPL    bid=$195.02
  [RAW TICK] 14:17:10  COIN    bid=$100.7
  [RAW TICK] 14:17:10  TSLA    bid=$252.95
  [RAW TICK] 14:17:10  COIN    bid=$100.8
